{'5_flow_ch': '0.0', 'Number': 32800, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.15', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.56'}
{'5_flow_ch': '0.0', 'Number': 32801, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.71', '3_flow_ch': '0.75', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.53'}
{'5_flow_ch': '0.0', 'Number': 32802, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.26', '3_flow_ch': '0.37', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.45'}
{'5_flow_ch': '0.0', 'Number': 32803, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.34', '3_flow_ch': '0.41', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.41'}
{'5_flow_ch': '0.0', 'Number': 32804, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.34', '3_flow_ch': '0.45', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.45'}
{'5_flow_ch': '0.0', 'Number': 32805, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.53', '3_flow_ch': '0.56', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.41'}
{'5_flow_ch': '0.0', 'Number': 32806, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.03', '3_flow_ch': '0.11', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.26'}
{'5_flow_ch': '0.0', 'Number': 32807, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.53', '3_flow_ch': '0.53', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.41'}
{'5_flow_ch': '0.0', 'Number': 32808, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.07', '3_flow_ch': '0.07', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.15'}
{'5_flow_ch': '0.0', 'Number': 32809, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.53', '3_flow_ch': '0.71', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.45'}
